Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.537346	-0.537346
1	0.950747	750	-0.527821	-1.065167
2	0.926679	750	-0.538700	-1.603867
3	0.902980	750	-0.564285	-2.168152
4	0.879648	750	-0.578447	-2.746599
5	0.856682	750	-0.552566	-3.299164
6	0.834079	750	-0.516331	-3.815495
7	0.811838	750	-0.522782	-4.338277
8	0.789957	750	-0.517052	-4.855329
9	0.768433	750	-0.550371	-5.405700
10	0.747266	750	-0.511808	-5.917508
11	0.726452	750	-0.478082	-6.395589
12	0.705989	750	-0.430965	-6.826555
13	0.685877	750	-0.416387	-7.242942
14	0.666112	750	-0.424630	-7.667571
15	0.646693	750	-0.405889	-8.073461
16	0.627618	750	-0.457859	-8.531320
17	0.608884	750	-0.473388	-9.004708
18	0.590490	750	-0.400838	-9.405546
19	0.572433	750	-0.436388	-9.841934
20	0.554712	750	-0.421433	-10.263367
21	0.537324	750	-0.419431	-10.682798
22	0.520268	750	-0.413519	-11.096318
23	0.503540	750	-0.347984	-11.444302
24	0.487139	750	-0.386217	-11.830519
25	0.471063	750	-0.397489	-12.228009
26	0.455310	750	-0.383926	-12.611935
27	0.439877	750	-0.332459	-12.944394
28	0.424762	750	-0.332229	-13.276622
29	0.409963	750	-0.341479	-13.618102
30	0.395478	750	-0.319897	-13.937999
31	0.381305	750	-0.349183	-14.287181
32	0.367440	750	-0.317912	-14.605094
33	0.353883	750	-0.321122	-14.926215
34	0.340630	750	-0.318458	-15.244674
35	0.327680	750	-0.307418	-15.552092
36	0.315030	750	-0.319432	-15.871524
37	0.302677	750	-0.294136	-16.165660
38	0.290619	750	-0.311636	-16.477296
39	0.278855	750	-0.332808	-16.810103
40	0.267381	750	-0.316268	-17.126371
41	0.256195	750	-0.308082	-17.434454
42	0.245294	750	-0.310131	-17.744584
43	0.234677	750	-0.291856	-18.036440
44	0.224340	750	-0.287026	-18.323466
45	0.214281	750	-0.316987	-18.640453
46	0.204498	750	-0.266995	-18.907448
47	0.194988	750	-0.256805	-19.164253
48	0.185749	750	-0.210846	-19.375099
49	0.176777	750	-0.204430	-19.579529
50	0.168070	750	-0.189057	-19.768586
51	0.159626	750	-0.179312	-19.947898
52	0.151441	750	-0.199933	-20.147830
53	0.143514	750	-0.187464	-20.335294
54	0.135841	750	-0.220496	-20.555790
55	0.128420	750	-0.198588	-20.754379
56	0.121247	750	-0.179358	-20.933736
57	0.114320	750	-0.196275	-21.130011
58	0.107637	750	-0.218995	-21.349006
59	0.101193	750	-0.185622	-21.534628
60	0.094986	750	-0.197120	-21.731748
61	0.089014	750	-0.196679	-21.928426
62	0.083273	750	-0.204290	-22.132717
63	0.077760	750	-0.234210	-22.366926
64	0.072472	750	-0.189424	-22.556350
65	0.067406	750	-0.158228	-22.714578
66	0.062558	750	-0.163051	-22.877629
67	0.057926	750	-0.173508	-23.051137
68	0.053506	750	-0.157328	-23.208465
69	0.049295	750	-0.159647	-23.368111
70	0.045289	750	-0.125307	-23.493418
71	0.041485	750	-0.126440	-23.619858
72	0.037880	750	-0.086069	-23.705928
73	0.034469	750	-0.088711	-23.794639
74	0.031250	750	-0.089552	-23.884190
75	0.028218	750	-0.072475	-23.956665
76	0.025370	750	-0.077910	-24.034575
77	0.022702	750	-0.076808	-24.111383
78	0.020209	750	-0.069956	-24.181340
79	0.017889	750	-0.071656	-24.252996
80	0.015736	750	-0.080988	-24.333983
81	0.013746	750	-0.055997	-24.389980
82	0.011916	750	-0.058402	-24.448382
83	0.010240	750	-0.041822	-24.490204
84	0.008714	750	-0.038211	-24.528415
85	0.007334	750	-0.050472	-24.578887
86	0.006093	750	-0.035891	-24.614777
87	0.004988	750	-0.034018	-24.648795
88	0.004013	750	-0.039612	-24.688408
89	0.003162	750	-0.041335	-24.729742
90	0.002430	750	-0.025362	-24.755104
91	0.001810	750	-0.022144	-24.777248
92	0.001296	750	-0.019626	-24.796874
93	0.000882	750	-0.019419	-24.816293
94	0.000559	750	-0.013905	-24.830197
95	0.000320	750	-0.008831	-24.839029
96	0.000156	750	-0.010255	-24.849284
97	0.000057	750	-0.003381	-24.852665
98	0.000010	750	-0.002340	-24.855005
99	0.000000	750	-0.000631	-24.855636
Log marginal likelihood:	-24.855636
